Features,PlatForm,Values
Gifting Options,Tiktok (Windows Website),1
Content Sharing Prompts,LinkedIn(Windows Website),1
Content Sharing Prompts,Snapchat(Windows Website),1
Congratulatory Prompts,LinkedIn(Windows Website),1
Anthropomorphic Language for Social Pressure,Pinterest(Windows Website),1
Anthropomorphic Language for Social Pressure,Tiktok (Windows Website),1
Anthropomorphic Language for Social Pressure,Wikipedia(Windows Website),1
Anthropomorphic Language for Social Pressure,Zalando(Windows Website),1
Anthropomorphic Language for Social Pressure,x (Windows Website),1
Social Reminders,Facebook(Windows Website),1
Social Reminders,Google Map(Windows Website),1
Social Reminders,LinkedIn(Windows Website),1
Social Reminders,Pinterest(Windows Website),1
Social Reminders,Tiktok (Windows Website),1
Rating Requests,AliExpress (Windows Website),1
Rating Requests,Amazon (Windows Website),1
Rating Requests,Apple Store(Windows Website),1
Rating Requests,Booking(Windows Website),1
Rating Requests,Facebook(Windows Website),1
Rating Requests,Google Play(Windows Website),1
Rating Requests,Ins (Windows Website),1
Rating Requests,LinkedIn(Windows Website),1
Rating Requests,Pinterest(Windows Website),1
Rating Requests,Snapchat(Windows Website),1
Rating Requests,Tiktok (Windows Website),1
Rating Requests,Zalando(Windows Website),1
In-app Incomplete/Unread Badge,AliExpress (Windows Website),1
In-app Incomplete/Unread Badge,Apple Store(Windows Website),1
In-app Incomplete/Unread Badge,Booking(Windows Website),1
In-app Incomplete/Unread Badge,Facebook(Windows Website),1
In-app Incomplete/Unread Badge,Ins (Windows Website),1
In-app Incomplete/Unread Badge,LinkedIn(Windows Website),1
In-app Incomplete/Unread Badge,Pinterest(Windows Website),1
In-app Incomplete/Unread Badge,Snapchat(Windows Website),1
In-app Incomplete/Unread Badge,Tiktok (Windows Website),1
In-app Incomplete/Unread Badge,Wikipedia(Windows Website),1
In-app Incomplete/Unread Badge,YouTube(Windows Website),1
In-app Incomplete/Unread Badge,x (Windows Website),1
New Feature Prompts,AliExpress (Windows Website),1
New Feature Prompts,Amazon (Windows Website),1
New Feature Prompts,Booking(Windows Website),1
New Feature Prompts,Facebook(Windows Website),1
New Feature Prompts,Google Map(Windows Website),1
New Feature Prompts,Google Play(Windows Website),1
New Feature Prompts,Google Shopping (Windows Website),1
New Feature Prompts,Ins (Windows Website),1
New Feature Prompts,LinkedIn(Windows Website),1
New Feature Prompts,Pinterest(Windows Website),1
New Feature Prompts,Snapchat(Windows Website),1
New Feature Prompts,Tiktok (Windows Website),1
New Feature Prompts,Wikipedia(Windows Website),1
New Feature Prompts,YouTube(Windows Website),1
New Feature Prompts,Zalando(Windows Website),1
New Feature Prompts,x (Windows Website),1
Personal Data Solicitation,Amazon (Windows Website),1
Personal Data Solicitation,Facebook(Windows Website),1
Personal Data Solicitation,Google Play(Windows Website),1
Personal Data Solicitation,Ins (Windows Website),1
Personal Data Solicitation,LinkedIn(Windows Website),1
Personal Data Solicitation,Wikipedia(Windows Website),1
Personal Data Solicitation,x (Windows Website),1
Advanced Personalization Setting,Facebook(Windows Website),1
Advanced Personalization Setting,Google Play(Windows Website),1
Advanced Personalization Setting,Ins (Windows Website),1
Advanced Personalization Setting,Snapchat(Windows Website),1
Advanced Personalization Setting,Wikipedia(Windows Website),1
Advanced Personalization Setting,x (Windows Website),1
Task Chunking,Amazon (Windows Website),1
Task Chunking,Apple Store(Windows Website),1
Task Chunking,Booking(Windows Website),1
Task Chunking,LinkedIn(Windows Website),1
Task Chunking,Tiktok (Windows Website),1
Task Chunking,x (Windows Website),1
Scarcity-Based Urgency,Booking(Windows Website),1
Scarcity-Based Urgency,Zalando(Windows Website),1
Vague Urgency Cues,Pinterest(Windows Website),1
Vague Urgency Cues,x (Windows Website),1
Deadline-driven Prompt,AliExpress (Windows Website),1
Deadline-driven Prompt,Amazon (Windows Website),1
Deadline-driven Prompt,Booking(Windows Website),1
Deadline-driven Prompt,Google Play(Windows Website),1
Deadline-driven Prompt,Zalando(Windows Website),1
Autoplay Countdown Timer,YouTube(Windows Website),1
FOMO Notification Prompts,AliExpress (Windows Website),1
FOMO Notification Prompts,Google Play(Windows Website),1
FOMO Notification Prompts,LinkedIn(Windows Website),1
FOMO Notification Prompts,Snapchat(Windows Website),1
Random/Surpise Reward,AliExpress (Windows Website),1
Random/Surpise Reward,LinkedIn(Windows Website),1
Streak Rewards and Daily Challenges,AliExpress (Windows Website),1
Streak Rewards and Daily Challenges,LinkedIn(Windows Website),1
Promised Mystery Prizes,Booking(Windows Website),1
Promised Mystery Prizes,Google Map(Windows Website),1
Promised Mystery Prizes,LinkedIn(Windows Website),1
Promised Mystery Prizes,Snapchat(Windows Website),1
Promised Mystery Prizes,Tiktok (Windows Website),1
Promised Mystery Prizes,YouTube(Windows Website),1
Promised Mystery Prizes,x (Windows Website),1
Intrigue-Inducing Headline,Tiktok (Windows Website),1
Deceptive Social Notifications,Snapchat(Windows Website),1
Profile View Teasers,LinkedIn(Windows Website),1
Provocative Content,AliExpress (Windows Website),1
Provocative Content,Amazon (Windows Website),1
Provocative Content,Facebook(Windows Website),1
Provocative Content,Ins (Windows Website),1
Provocative Content,Snapchat(Windows Website),1
Provocative Content,Tiktok (Windows Website),1
Provocative Content,YouTube(Windows Website),1
Prioritizing Content from Most-Interacted Friends,Ins (Windows Website),1
Preference-Based Content Curation,Amazon (Windows Website),1
Preference-Based Content Curation,Ins (Windows Website),1
Preference-Based Content Curation,LinkedIn(Windows Website),1
Preference-Based Content Curation,Pinterest(Windows Website),1
Preference-Based Content Curation,YouTube(Windows Website),1
Preference-Based Content Curation,Zalando(Windows Website),1
Likes/Dislikes/Symbols Response Counts on Content,Facebook(Windows Website),1
Likes/Dislikes/Symbols Response Counts on Content,Ins (Windows Website),1
Likes/Dislikes/Symbols Response Counts on Content,LinkedIn(Windows Website),1
Likes/Dislikes/Symbols Response Counts on Content,Pinterest(Windows Website),1
Likes/Dislikes/Symbols Response Counts on Content,Tiktok (Windows Website),1
Likes/Dislikes/Symbols Response Counts on Content,YouTube(Windows Website),1
Likes/Dislikes/Symbols Response Counts on Content,x (Windows Website),1
View Counts on Posts,Facebook(Windows Website),1
View Counts on Posts,Snapchat(Windows Website),1
View Counts on Posts,Tiktok (Windows Website),1
View Counts on Posts,YouTube(Windows Website),1
View Counts on Posts,x (Windows Website),1
Viewers/Reactors List,Facebook(Windows Website),1
Top Fan/Contributor Ranking,Tiktok (Windows Website),1
Content Analytics Dashboard,LinkedIn(Windows Website),1
Content Analytics Dashboard,Tiktok (Windows Website),1
Content Analytics Dashboard,Wikipedia(Windows Website),1
Content Analytics Dashboard,YouTube(Windows Website),1
Social Activity Alerts,Booking(Windows Website),1
Social Activity Alerts,Ins (Windows Website),1
Social Activity Alerts,LinkedIn(Windows Website),1
Social Activity Alerts,Snapchat(Windows Website),1
Social Activity Alerts,Tiktok (Windows Website),1
Social Activity Alerts,YouTube(Windows Website),1
Social Activity Alerts,x (Windows Website),1
Confusing Menus and Disorganized Options,Wikipedia(Windows Website),1
Unclear Language,AliExpress (Windows Website),1
Attentional Roach Motel,Apple Store(Windows Website),1
Attentional Roach Motel,Facebook(Windows Website),1
Attentional Roach Motel,LinkedIn(Windows Website),1
No Opt-Out Option,Wikipedia(Windows Website),1
No Opt-Out Option,x (Windows Website),1
Mix of Irrelevant and Relevant Content,Tiktok (Windows Website),1
Mix of Irrelevant and Relevant Content,Wikipedia(Windows Website),1
Mandatory Sponsored Content Viewing,YouTube(Windows Website),1
Nagging,Facebook(Windows Website),1
Nagging,Ins (Windows Website),1
Nagging,Snapchat(Windows Website),1
Pre-Selected Options Requiring Manual Deselect,Ins (Windows Website),1
Pre-Selected Options Requiring Manual Deselect,LinkedIn(Windows Website),1
Mandatory Instructional Steps,Ins (Windows Website),1
Mandatory Instructional Steps,YouTube(Windows Website),1
Picture-in-Picture Playback,YouTube(Windows Website),1
Pin App Features to Home Screen,Snapchat(Windows Website),1
Pin App Features to Home Screen,Tiktok (Windows Website),1
Watch & Explore History displayed on the Main Page,AliExpress (Windows Website),1
Watch & Explore History displayed on the Main Page,Amazon (Windows Website),1
Watch & Explore History displayed on the Main Page,Facebook(Windows Website),1
Watch & Explore History displayed on the Main Page,Google Map(Windows Website),1
Watch & Explore History displayed on the Main Page,Google Shopping (Windows Website),1
Watch & Explore History displayed on the Main Page,Ins (Windows Website),1
Watch & Explore History displayed on the Main Page,Pinterest(Windows Website),1
Watch & Explore History displayed on the Main Page,Tiktok (Windows Website),1
Watch & Explore History displayed on the Main Page,YouTube(Windows Website),1
Watch & Explore History displayed on the Main Page,Zalando(Windows Website),1
Watch & Explore History displayed on the Main Page,x (Windows Website),1
Autoplay Videos on Scroll,Apple Store(Windows Website),1
Autoplay Videos on Scroll,Facebook(Windows Website),1
Autoplay Videos on Scroll,Ins (Windows Website),1
Autoplay Videos on Scroll,LinkedIn(Windows Website),1
Autoplay Videos on Scroll,Snapchat(Windows Website),1
Autoplay Videos on Scroll,Tiktok (Windows Website),1
Autoplay Videos on Scroll,YouTube(Windows Website),1
Autoplay Videos on Scroll,Zalando(Windows Website),1
Autoplay Videos on Scroll,x (Windows Website),1
Trending Quick Suggestions,AliExpress (Windows Website),1
Trending Quick Suggestions,Amazon (Windows Website),1
Trending Quick Suggestions,Booking(Windows Website),1
Trending Quick Suggestions,Google Play(Windows Website),1
Trending Quick Suggestions,Ins (Windows Website),1
Trending Quick Suggestions,LinkedIn(Windows Website),1
Trending Quick Suggestions,Pinterest(Windows Website),1
Trending Quick Suggestions,Tiktok (Windows Website),1
Trending Quick Suggestions,YouTube(Windows Website),1
Trending Quick Suggestions,Zalando(Windows Website),1
Trending Quick Suggestions,x (Windows Website),1
One-Click Personalized Recommendations,AliExpress (Windows Website),1
One-Click Personalized Recommendations,Amazon (Windows Website),1
One-Click Personalized Recommendations,Apple Store(Windows Website),1
One-Click Personalized Recommendations,Booking(Windows Website),1
One-Click Personalized Recommendations,Facebook(Windows Website),1
One-Click Personalized Recommendations,Google Play(Windows Website),1
One-Click Personalized Recommendations,Google Shopping (Windows Website),1
One-Click Personalized Recommendations,Ins (Windows Website),1
One-Click Personalized Recommendations,LinkedIn(Windows Website),1
One-Click Personalized Recommendations,Pinterest(Windows Website),1
One-Click Personalized Recommendations,Tiktok (Windows Website),1
One-Click Personalized Recommendations,Wikipedia(Windows Website),1
One-Click Personalized Recommendations,YouTube(Windows Website),1
One-Click Personalized Recommendations,x (Windows Website),1
One-Click Sharing,Apple Store(Windows Website),1
One-Click Sharing,Facebook(Windows Website),1
One-Click Sharing,Ins (Windows Website),1
One-Click Sharing,LinkedIn(Windows Website),1
One-Click Sharing,Pinterest(Windows Website),1
One-Click Sharing,Snapchat(Windows Website),1
One-Click Sharing,Tiktok (Windows Website),1
One-Click Sharing,YouTube(Windows Website),1
One-Click Sharing,x (Windows Website),1
Pre-Selected Emojis/Contents for Quick Responses,Facebook(Windows Website),1
Pre-Selected Emojis/Contents for Quick Responses,LinkedIn(Windows Website),1
Pre-Selected Emojis/Contents for Quick Responses,Pinterest(Windows Website),1
Pre-Selected Emojis/Contents for Quick Responses,Zalando(Windows Website),1
Infinite Scrolling,AliExpress (Windows Website),1
Infinite Scrolling,Amazon (Windows Website),1
Infinite Scrolling,Apple Store(Windows Website),1
Infinite Scrolling,Facebook(Windows Website),1
Infinite Scrolling,Google Play(Windows Website),1
Infinite Scrolling,Ins (Windows Website),1
Infinite Scrolling,LinkedIn(Windows Website),1
Infinite Scrolling,Pinterest(Windows Website),1
Infinite Scrolling,Snapchat(Windows Website),1
Infinite Scrolling,Tiktok (Windows Website),1
Infinite Scrolling,YouTube(Windows Website),1
Infinite Scrolling,x (Windows Website),1
Casino Pull-to-refresh,Snapchat(Windows Website),1
Casino Pull-to-refresh,x (Windows Website),1
Visually Engaging Recommendations Grid,Amazon (Windows Website),1
Visually Engaging Recommendations Grid,Apple Store(Windows Website),1
Visually Engaging Recommendations Grid,Booking(Windows Website),1
Visually Engaging Recommendations Grid,Google Play(Windows Website),1
Visually Engaging Recommendations Grid,Ins (Windows Website),1
Visually Engaging Recommendations Grid,Pinterest(Windows Website),1
Visually Engaging Recommendations Grid,Snapchat(Windows Website),1
Visually Engaging Recommendations Grid,Tiktok (Windows Website),1
Visually Engaging Recommendations Grid,YouTube(Windows Website),1
Sponsored Posts Mimicking or Mixed with Regular Content,Amazon (Windows Website),1
Sponsored Posts Mimicking or Mixed with Regular Content,Apple Store(Windows Website),1
Sponsored Posts Mimicking or Mixed with Regular Content,Ins (Windows Website),1
Sponsored Posts Mimicking or Mixed with Regular Content,LinkedIn(Windows Website),1
Sponsored Posts Mimicking or Mixed with Regular Content,Snapchat(Windows Website),1
Sponsored Posts Mimicking or Mixed with Regular Content,Tiktok (Windows Website),1
Sponsored Posts Mimicking or Mixed with Regular Content,YouTube(Windows Website),1
Sponsored Posts Mimicking or Mixed with Regular Content,x (Windows Website),1
